task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
157	54/eb3704	396008	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_PARSEHEADERS_PRIMERS_UMI (SRR1383463)	COMPLETED	0	2025-01-28 11:25:05.280	12.2s	7s	109.4%	63.1 MB	1 GB	145.9 MB	71.6 MB
159	28/adf15f	397004	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_SPLITSEQ_UMI (SRR1383456)	COMPLETED	0	2025-01-28 11:25:14.170	6.3s	2s	155.3%	44 MB	1 GB	34.6 MB	174 KB
136	e6/390a99	397696	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:FASTQC_POSTASSEMBLY_UMI (SRR1383452)	COMPLETED	0	2025-01-28 11:25:20.518	6.1s	3s	127.8%	338.4 MB	4.9 GB	27.2 MB	2.3 MB
138	b0/c366bd	398157	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:FASTQC_POSTASSEMBLY_UMI (SRR1383465)	COMPLETED	0	2025-01-28 11:25:26.612	6.7s	4s	134.0%	292.6 MB	4.9 GB	37.4 MB	2.3 MB
141	86/7a728a	398638	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:FASTQC_POSTASSEMBLY_UMI (SRR1383466)	COMPLETED	0	2025-01-28 11:25:33.288	5.3s	2s	167.1%	197.4 MB	4.9 GB	11.6 MB	2.3 MB
142	ad/1e1337	399087	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:FASTQC_POSTASSEMBLY_UMI (SRR1383467)	COMPLETED	0	2025-01-28 11:25:38.642	5.3s	2s	141.1%	168.7 MB	4.9 GB	12.1 MB	2.4 MB
144	56/988716	399490	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:FASTQC_POSTASSEMBLY_UMI (SRR1383451)	COMPLETED	0	2025-01-28 11:25:43.969	6.1s	3s	147.2%	493.8 MB	4.9 GB	64.2 MB	2.3 MB
147	95/c0b576	399950	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:FASTQC_POSTASSEMBLY_UMI (SRR1383463)	COMPLETED	0	2025-01-28 11:25:50.053	6.1s	4s	166.3%	472.9 MB	4.9 GB	78.9 MB	2.3 MB
158	ab/5a60ef	400435	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_ASSEMBLEPAIRS_UMI (SRR1383468)	COMPLETED	0	2025-01-28 11:25:56.198	11.4s	9s	432.8%	671.6 MB	8.4 GB	64.9 MB	20.5 MB
160	d2/5f8e08	401907	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_COLLAPSESEQ_UMI (SRR1383453)	COMPLETED	0	2025-01-28 11:26:07.609	7.4s	4s	139.1%	239.8 MB	1.2 GB	72.8 MB	31.5 MB
