subj_locus	gene	clone_count	clone_freq	sample_id	subject_id	locus
SRR1383463_M5_IG	IGHV2-70	73	0.0256320224719101	SRR1383463	M5	IG
SRR1383464_M5_IG	IGHV7-4-1	74	0.105413105413105	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV3-30	77	0.10968660968661	SRR1383464	M5	IG
SRR1383465_M5_IG	IGHV3-33	78	0.0691489361702128	SRR1383465	M5	IG
SRR1383463_M5_IG	IGHV1-8	82	0.0287921348314607	SRR1383463	M5	IG
SRR1383451_M4_IG	IGHV3-11	85	0.0426492724535876	SRR1383451	M4	IG
SRR1383451_M4_IG	IGHV1-18	90	0.0451580531861515	SRR1383451	M4	IG
SRR1383463_M5_IG	IGHV3-11	90	0.0316011235955056	SRR1383463	M5	IG
SRR1383451_M4_IG	IGHV3-21	92	0.0461615654791771	SRR1383451	M4	IG
SRR1383464_M5_IG	IGHV1-69	92	0.131054131054131	SRR1383464	M5	IG
SRR1383463_M5_IG	IGHV3-9	94	0.0330056179775281	SRR1383463	M5	IG
SRR1383463_M5_IG	IGHV1-18	99	0.0347612359550562	SRR1383463	M5	IG
SRR1383463_M5_IG	IGHV3-30-3	100	0.0351123595505618	SRR1383463	M5	IG
SRR1383465_M5_IG	IGHV3-21	100	0.0886524822695035	SRR1383465	M5	IG
SRR1383451_M4_IG	IGHV1-69	102	0.0511791269443051	SRR1383451	M4	IG
SRR1383465_M5_IG	IGHV1-69	103	0.0913120567375887	SRR1383465	M5	IG
SRR1383463_M5_IG	IGHV1-46	109	0.0382724719101124	SRR1383463	M5	IG
SRR1383452_M4_IG	IGHV3-30	111	0.157001414427157	SRR1383452	M4	IG
SRR1383453_M4_IG	IGHV3-30	112	0.155988857938719	SRR1383453	M4	IG
SRR1383463_M5_IG	IGHV2-5	114	0.0400280898876405	SRR1383463	M5	IG
SRR1383463_M5_IG	IGHV1-2	115	0.0403792134831461	SRR1383463	M5	IG
SRR1383463_M5_IG	IGHV4-59	116	0.0407303370786517	SRR1383463	M5	IG
SRR1383451_M4_IG	IGHV3-33	117	0.058705469141997	SRR1383451	M4	IG
SRR1383465_M5_IG	IGHV3-30	121	0.107269503546099	SRR1383465	M5	IG
SRR1383451_M4_IG	IGHV1-2	138	0.0692423482187657	SRR1383451	M4	IG
SRR1383463_M5_IG	IGHV4-30-4	140	0.0491573033707865	SRR1383463	M5	IG
SRR1383451_M4_IG	IGHV3-9	145	0.0727546412443552	SRR1383451	M4	IG
SRR1383463_M5_IG	IGHV3-33	146	0.0512640449438202	SRR1383463	M5	IG
SRR1383463_M5_IG	IGHV7-4-1	148	0.0519662921348315	SRR1383463	M5	IG
SRR1383463_M5_IG	IGHV3-21	193	0.0677668539325843	SRR1383463	M5	IG
SRR1383451_M4_IG	IGHV3-30	266	0.133467134972403	SRR1383451	M4	IG
SRR1383463_M5_IG	IGHV3-30	267	0.09375	SRR1383463	M5	IG
SRR1383463_M5_IG	IGHV1-69	298	0.104634831460674	SRR1383463	M5	IG
