ID	QUALITY
SRR1383456.452	9
SRR1383456.453	31
SRR1383456.454	22
SRR1383456.455	11
SRR1383456.456	36
SRR1383456.457	24
SRR1383456.459	4
SRR1383456.458	29
SRR1383456.460	22
SRR1383456.461	37
SRR1383456.462	25
SRR1383456.463	27
SRR1383456.464	27
SRR1383456.465	21
SRR1383456.466	10
SRR1383456.467	26
SRR1383456.468	20
SRR1383456.469	20
SRR1383456.470	12
SRR1383456.471	33
SRR1383456.472	25
SRR1383456.473	19
SRR1383456.474	23
SRR1383456.475	16
SRR1383456.476	24
SRR1383456.477	22
SRR1383456.479	27
SRR1383456.478	34
SRR1383456.480	36
SRR1383456.481	25
SRR1383456.482	20
SRR1383456.483	35
SRR1383456.484	10
SRR1383456.485	23
SRR1383456.486	28
SRR1383456.487	5
SRR1383456.488	22
SRR1383456.489	17
SRR1383456.490	26
SRR1383456.491	11
SRR1383456.493	20
SRR1383456.492	32
SRR1383456.494	35
SRR1383456.495	30
SRR1383456.496	30
SRR1383456.497	22
SRR1383456.498	27
SRR1383456.502	11
SRR1383456.500	7
SRR1383456.501	21
SRR1383456.499	28
SRR1383456.503	15
SRR1383456.504	23
SRR1383456.505	24
SRR1383456.506	8
SRR1383456.510	27
SRR1383456.507	14
SRR1383456.509	13
SRR1383456.508	35
SRR1383456.511	29
SRR1383456.513	37
SRR1383456.512	29
SRR1383456.514	5
SRR1383456.515	22
SRR1383456.516	33
SRR1383456.517	27
SRR1383456.518	26
SRR1383456.519	12
SRR1383456.520	27
SRR1383456.521	20
SRR1383456.522	35
SRR1383456.523	35
SRR1383456.524	22
SRR1383456.525	27
SRR1383456.526	30
SRR1383456.530	22
SRR1383456.528	30
SRR1383456.529	35
SRR1383456.527	34
SRR1383456.531	31
SRR1383456.532	16
SRR1383456.533	10
SRR1383456.534	7
SRR1383456.535	26
SRR1383456.536	34
SRR1383456.537	24
SRR1383456.541	36
SRR1383456.540	33
SRR1383456.542	26
SRR1383456.544	20
SRR1383456.539	16
SRR1383456.545	7
SRR1383456.543	18
SRR1383456.538	12
SRR1383456.548	24
SRR1383456.549	26
SRR1383456.546	33
SRR1383456.550	24
SRR1383456.551	4
SRR1383456.552	17
SRR1383456.553	36
SRR1383456.555	36
SRR1383456.557	31
SRR1383456.554	25
SRR1383456.556	10
SRR1383456.559	10
SRR1383456.558	28
SRR1383456.561	7
SRR1383456.560	32
SRR1383456.563	36
SRR1383456.562	25
SRR1383456.564	2
SRR1383456.566	25
SRR1383456.565	26
SRR1383456.567	11
SRR1383456.568	30
SRR1383456.547	6
SRR1383456.569	11
SRR1383456.570	16
SRR1383456.571	16
SRR1383456.573	18
SRR1383456.572	27
SRR1383456.574	28
SRR1383456.575	30
SRR1383456.576	18
SRR1383456.577	32
SRR1383456.578	4
SRR1383456.579	26
SRR1383456.580	27
SRR1383456.581	26
SRR1383456.582	2
SRR1383456.583	17
SRR1383456.585	28
SRR1383456.584	36
SRR1383456.586	36
SRR1383456.590	27
SRR1383456.587	19
SRR1383456.589	31
SRR1383456.588	25
SRR1383456.592	13
SRR1383456.593	30
SRR1383456.591	20
SRR1383456.594	24
SRR1383456.595	13
SRR1383456.596	14
SRR1383456.597	16
SRR1383456.598	12
SRR1383456.599	37
SRR1383456.603	20
SRR1383456.601	36
SRR1383456.602	36
SRR1383456.600	5
SRR1383456.604	36
SRR1383456.608	12
SRR1383456.606	16
SRR1383456.607	35
SRR1383456.605	19
SRR1383456.609	16
SRR1383456.610	24
SRR1383456.611	26
SRR1383456.612	19
SRR1383456.613	23
SRR1383456.614	25
SRR1383456.615	9
SRR1383456.616	5
SRR1383456.617	15
SRR1383456.618	3
SRR1383456.619	16
SRR1383456.620	21
SRR1383456.621	18
SRR1383456.622	26
SRR1383456.623	35
SRR1383456.624	27
SRR1383456.625	22
SRR1383456.626	4
SRR1383456.627	30
SRR1383456.628	22
SRR1383456.630	9
SRR1383456.629	22
SRR1383456.631	15
SRR1383456.632	29
SRR1383456.633	26
SRR1383456.635	25
SRR1383456.634	24
SRR1383456.636	13
SRR1383456.638	4
SRR1383456.637	23
SRR1383456.639	5
SRR1383456.640	15
SRR1383456.641	11
SRR1383456.645	34
SRR1383456.644	28
SRR1383456.643	28
SRR1383456.646	19
SRR1383456.642	28
SRR1383456.648	26
SRR1383456.647	27
SRR1383456.649	28
SRR1383456.650	32
SRR1383456.651	12
SRR1383456.653	35
SRR1383456.652	30
SRR1383456.655	24
SRR1383456.654	19
SRR1383456.657	33
SRR1383456.660	26
SRR1383456.656	19
SRR1383456.658	23
SRR1383456.662	14
SRR1383456.661	3
SRR1383456.664	26
SRR1383456.665	27
SRR1383456.663	27
SRR1383456.666	4
SRR1383456.667	2
SRR1383456.659	26
SRR1383456.668	25
SRR1383456.670	22
SRR1383456.669	26
SRR1383456.673	31
SRR1383456.672	28
SRR1383456.671	28
SRR1383456.674	8
SRR1383456.675	36
SRR1383456.676	9
SRR1383456.677	25
SRR1383456.678	15
SRR1383456.679	13
SRR1383456.680	34
SRR1383456.684	26
SRR1383456.682	34
SRR1383456.683	22
SRR1383456.681	33
SRR1383456.685	21
SRR1383456.686	35
SRR1383456.687	13
SRR1383456.688	7
SRR1383456.689	36
SRR1383456.690	12
SRR1383456.691	25
SRR1383456.692	8
SRR1383456.693	10
SRR1383456.694	24
SRR1383456.695	25
SRR1383456.696	35
SRR1383456.697	27
SRR1383456.699	27
SRR1383456.698	20
SRR1383456.700	36
SRR1383456.701	26
SRR1383456.702	17
SRR1383456.703	27
SRR1383456.704	28
SRR1383456.705	18
SRR1383456.706	21
SRR1383456.707	5
SRR1383456.710	20
SRR1383456.709	27
SRR1383456.711	16
SRR1383456.714	30
SRR1383456.712	26
SRR1383456.716	12
SRR1383456.715	36
SRR1383456.713	14
SRR1383456.708	6
SRR1383456.719	19
SRR1383456.718	13
SRR1383456.717	18
SRR1383456.721	24
SRR1383456.720	37
SRR1383456.725	26
SRR1383456.723	22
SRR1383456.724	4
SRR1383456.722	34
SRR1383456.726	24
SRR1383456.727	7
SRR1383456.728	19
SRR1383456.729	28
SRR1383456.730	18
SRR1383456.731	22
SRR1383456.732	37
SRR1383456.733	15
SRR1383456.734	28
SRR1383456.735	6
SRR1383456.736	23
SRR1383456.737	10
SRR1383456.738	17
SRR1383456.739	30
SRR1383456.740	20
SRR1383456.741	27
SRR1383456.742	13
SRR1383456.743	32
SRR1383456.744	24
SRR1383456.745	30
SRR1383456.746	18
SRR1383456.747	36
SRR1383456.748	9
SRR1383456.752	19
SRR1383456.750	32
SRR1383456.751	9
SRR1383456.749	25
SRR1383456.753	3
SRR1383456.754	28
SRR1383456.755	18
SRR1383456.759	22
SRR1383456.758	25
SRR1383456.757	10
SRR1383456.756	36
SRR1383456.760	12
SRR1383456.761	23
SRR1383456.762	17
SRR1383456.763	3
SRR1383456.764	11
SRR1383456.765	3
SRR1383456.766	34
SRR1383456.768	9
SRR1383456.767	34
SRR1383456.769	26
SRR1383456.772	6
SRR1383456.773	35
SRR1383456.771	25
SRR1383456.776	26
SRR1383456.775	16
SRR1383456.774	33
SRR1383456.779	34
SRR1383456.778	12
SRR1383456.780	19
SRR1383456.781	18
SRR1383456.782	4
SRR1383456.770	15
SRR1383456.777	21
SRR1383456.783	30
SRR1383456.784	8
SRR1383456.785	22
SRR1383456.786	16
SRR1383456.788	32
SRR1383456.787	31
SRR1383456.789	34
SRR1383456.790	31
SRR1383456.791	9
SRR1383456.792	2
SRR1383456.793	30
SRR1383456.794	17
SRR1383456.795	28
SRR1383456.796	15
SRR1383456.797	30
SRR1383456.798	28
SRR1383456.800	32
SRR1383456.801	36
SRR1383456.799	22
SRR1383456.802	28
SRR1383456.803	2
SRR1383456.804	14
SRR1383456.805	28
SRR1383456.806	8
SRR1383456.807	16
SRR1383456.811	36
SRR1383456.809	37
SRR1383456.808	30
SRR1383456.810	27
SRR1383456.812	26
SRR1383456.813	31
SRR1383456.814	37
SRR1383456.815	19
SRR1383456.816	14
SRR1383456.817	21
SRR1383456.818	35
SRR1383456.819	25
SRR1383456.820	30
SRR1383456.821	26
SRR1383456.822	6
SRR1383456.826	30
SRR1383456.824	35
SRR1383456.825	36
SRR1383456.823	19
SRR1383456.827	32
SRR1383456.829	14
SRR1383456.828	8
SRR1383456.830	22
SRR1383456.831	11
SRR1383456.832	36
SRR1383456.835	14
SRR1383456.834	22
SRR1383456.833	34
SRR1383456.836	34
SRR1383456.838	28
SRR1383456.837	22
SRR1383456.839	28
SRR1383456.840	25
SRR1383456.841	31
SRR1383456.842	25
SRR1383456.843	32
SRR1383456.844	17
SRR1383456.845	26
SRR1383456.846	23
SRR1383456.847	7
SRR1383456.848	29
SRR1383456.849	23
SRR1383456.850	34
SRR1383456.851	23
SRR1383456.852	24
SRR1383456.853	36
SRR1383456.854	16
SRR1383456.855	14
SRR1383456.856	22
SRR1383456.857	15
SRR1383456.858	35
SRR1383456.859	19
SRR1383456.860	26
SRR1383456.861	30
SRR1383456.862	32
SRR1383456.863	33
SRR1383456.864	24
SRR1383456.865	12
SRR1383456.866	11
SRR1383456.868	33
SRR1383456.870	14
SRR1383456.869	8
SRR1383456.867	23
SRR1383456.872	20
SRR1383456.871	7
SRR1383456.873	22
SRR1383456.876	34
SRR1383456.874	23
SRR1383456.875	9
SRR1383456.877	15
SRR1383456.878	7
SRR1383456.879	37
SRR1383456.880	18
SRR1383456.881	26
SRR1383456.882	24
SRR1383456.883	23
SRR1383456.884	20
SRR1383456.886	6
SRR1383456.885	7
SRR1383456.887	4
SRR1383456.889	35
SRR1383456.888	11
SRR1383456.891	25
SRR1383456.890	23
SRR1383456.892	19
SRR1383456.893	26
SRR1383456.895	23
SRR1383456.896	11
SRR1383456.894	7
SRR1383456.899	8
SRR1383456.897	25
SRR1383456.898	17
SRR1383456.900	5
SRR1383456.901	23
SRR1383456.902	5
SRR1383456.903	29
SRR1383456.906	29
SRR1383456.905	22
SRR1383456.904	17
SRR1383456.907	27
SRR1383456.908	5
SRR1383456.911	30
SRR1383456.910	23
SRR1383456.912	14
SRR1383456.909	20
SRR1383456.913	26
SRR1383456.914	27
SRR1383456.915	29
SRR1383456.916	15
SRR1383456.917	20
SRR1383456.918	11
SRR1383456.919	13
SRR1383456.920	25
SRR1383456.921	30
SRR1383456.922	18
SRR1383456.923	22
SRR1383456.924	26
SRR1383456.925	21
SRR1383456.927	30
SRR1383456.926	25
SRR1383456.928	23
SRR1383456.932	28
SRR1383456.930	3
SRR1383456.931	3
SRR1383456.929	21
SRR1383456.933	26
SRR1383456.934	29
SRR1383456.935	34
SRR1383456.936	35
SRR1383456.937	23
SRR1383456.938	32
SRR1383456.939	27
SRR1383456.940	11
SRR1383456.941	23
SRR1383456.942	36
SRR1383456.943	33
SRR1383456.944	4
SRR1383456.945	28
SRR1383456.946	33
SRR1383456.947	21
SRR1383456.951	16
SRR1383456.949	27
SRR1383456.950	29
SRR1383456.948	22
SRR1383456.952	5
SRR1383456.953	24
SRR1383456.954	21
SRR1383456.955	27
SRR1383456.956	12
SRR1383456.957	4
SRR1383456.958	37
SRR1383456.959	20
SRR1383456.960	27
SRR1383456.961	25
SRR1383456.962	25
SRR1383456.963	36
SRR1383456.965	23
SRR1383456.964	19
SRR1383456.966	29
SRR1383456.967	20
SRR1383456.968	26
SRR1383456.969	24
SRR1383456.970	14
SRR1383456.971	27
SRR1383456.974	36
SRR1383456.973	36
SRR1383456.972	12
SRR1383456.975	25
SRR1383456.976	32
SRR1383456.977	24
SRR1383456.978	37
SRR1383456.979	17
SRR1383456.980	28
SRR1383456.981	14
SRR1383456.982	21
SRR1383456.983	18
SRR1383456.984	33
SRR1383456.985	18
SRR1383456.986	37
SRR1383456.987	19
SRR1383456.988	15
SRR1383456.989	5
SRR1383456.990	25
SRR1383456.991	26
SRR1383456.994	37
SRR1383456.993	7
SRR1383456.992	4
SRR1383456.995	19
SRR1383456.996	7
SRR1383456.997	8
SRR1383456.998	24
SRR1383456.999	24
SRR1383456.1001	4
SRR1383456.1002	27
